timestamp,potenial,wattage,predicted,C%,W2m
1615096800,54.0,0.00,0,39,0.00
1615098600,54.0,0.00,0,9,0.00
1615100400,54.0,0.00,0,9,0.00
1615102200,54.0,0.00,0,35,0.00
1615104000,54.0,0.00,0,35,0.00
1615105800,54.0,0.00,0,61,0.00
1615107600,54.0,0.00,0,61,0.00
1615109400,54.0,0.00,0,87,0.00
1615111200,54.0,0.00,0,87,0.00
1615113000,137.3,0.00,0,85,0.00
1615114800,220.2,0.00,0,85,0.00
1615116600,302.3,0.00,0,83,0.00
1615118400,383.5,0.00,0,83,0.00
1615120200,463.2,0.00,0,81,0.00
1615122000,624.4,0.00,0,81,0.00
1615123800,783.2,22.56,.0288,87,118.30
1615125600,938.8,82.71,.0881,87,406.03
1615127400,1090.7,121.39,.1113,94,585.85
1615129200,1238.1,132.60,.1071,94,695.84
1615131000,1463.7,142.56,.0974,100,767.22
1615132800,1683.2,137.18,.0815,100,815.63
1615134600,1839.0,124.87,.0679,100,849.22
1615136400,1930.0,122.75,.0636,100,872.52
1615138200,2013.1,107.10,.0532,100,888.16
1615140000,2087.7,87.89,.0421,100,897.69
1615141800,2153.5,58.14,.0270,100,901.95
1615143600,2153.7,38.77,.0180,100,901.30
1615145400,2087.7,55.95,.0268,100,895.71
1615147200,2013.1,83.54,.0415,100,884.68
1615149000,1930.0,100.36,.0520,100,867.20
1615150800,1838.8,112.90,.0614,100,841.51
1615152600,1683.3,108.24,.0643,100,804.59
1615154400,1463.7,109.92,.0751,100,751.19
1615156200,1238.1,113.04,.0913,92,671.75
1615158000,1090.7,102.63,.0941,92,547.60
1615159800,938.8,66.75,.0711,84,342.15
1615161600,783.2,8.54,.0109,84,44.88
1615163400,624.4,0.00,0,76,0.00
1615165200,463.2,0.00,0,76,0.00
1615167000,383.5,0.00,0,50,0.00
1615168800,302.3,0.00,0,50,0.00
1615170600,220.2,0.00,0,25,0.00
1615172400,137.3,0.00,0,25,0.00
1615174200,54.0,0.00,0,0,0.00
1615176000,54.0,0.00,0,0,0.00
1615177800,54.0,0.00,0,1,0.00
1615179600,54.0,0.00,0,1,0.00
1615181400,54.0,0.00,0,2,0.00
1615183200,54.0,0.00,0,2,0.00
1615185000,54.0,0.00,0,2,0.00
1615186800,54.0,0.00,0,2,0.00
1615188600,54.0,0.00,0,2,0.00
1615190400,54.0,0.00,0,2,0.00
1615192200,54.0,0.00,0,2,0.00
1615194000,54.0,0.00,0,2,0.00
1615195800,54.0,0.00,0,2,0.00
1615197600,54.0,0.00,0,2,0.00
1615199400,137.3,0.00,0,14,0.00
1615201200,220.2,0.00,0,14,0.00
1615203000,302.3,0.00,0,26,0.00
1615204800,383.5,0.00,0,26,0.00
1615206600,463.2,0.00,0,38,0.00
1615208400,624.4,0.00,0,38,0.00
1615210200,783.2,76.68,.0979,30,141.21
1615212000,938.8,289.24,.3081,30,422.08
1615213800,1090.7,497.25,.4559,22,595.26
1615215600,1238.1,696.68,.5627,22,701.71
1615217400,1463.7,945.70,.6461,15,771.12
1615219200,1683.2,1191.37,.7078,15,818.35
1615221000,1839.0,1382.19,.7516,12,851.19
1615222800,1930.0,1504.63,.7796,12,874.01
1615224600,2013.1,1629.00,.8092,9,889.34
1615226400,2087.7,1724.02,.8258,9,898.67
1615228200,2153.5,1821.65,.8459,6,902.82
1615230000,2153.7,1837.97,.8534,6,902.15
1615231800,2087.7,1787.49,.8562,5,896.60
1615233600,2013.1,1702.68,.8458,5,885.70
1615235400,1930.0,1600.55,.8293,5,868.46
1615237200,1838.8,1480.60,.8052,5,843.16
1615239000,1683.3,1296.98,.7705,5,806.86
1615240800,1463.7,1054.60,.7205,5,754.48
1615242600,1238.1,807.74,.6524,4,676.79
1615244400,1090.7,584.40,.5358,4,555.88
1615246200,938.8,322.48,.3435,4,356.42
1615248000,783.2,44.49,.0568,4,58.93
1615249800,624.4,0.00,0,3,0.00
1615251600,463.2,0.00,0,3,0.00
1615253400,383.5,0.00,0,5,0.00
1615255200,302.3,0.00,0,5,0.00
1615257000,220.2,0.00,0,7,0.00
1615258800,137.3,0.00,0,7,0.00
1615260600,54.0,0.00,0,9,0.00
1615262400,54.0,0.00,0,9,0.00
1615264200,54.0,0.00,0,40,0.00
1615266000,54.0,0.00,0,40,0.00
